groupname,YouTube_subscribers,This_year's_Top_MV_goods,Top_MV_goods,Spotify_monthly_listeners,This_year's_Top_spotify_streams,Top_spotify_streams,this_year_TikTok_sound_usage,TikTok_sound_usage,years of activity,kohaku_selected
aina_the_end,532000,410000,410000,4378000,89822573,89822573,20000,20000,11,1
ikuta_rira,964000,97000,200000,3029000,41300232,96207738,1518,25000,10,1
hana,1630000,560000,560000,2782000,47207903,62919817,30000,27000,1,1
candy_tune,280000,190000,190000,695000,19896398,19896398,200000,200000,2,1
fruits_zipper,573000,81000,310000,924000,15791895,48961059,20000,132000,3,1
humbert_humbert,155000,27000,27000,443000,2605842,6398937,654,654,13,1
and_team,1300000,180000,490000,1609000,16218800,2366672,7173,50000,3,1
m!lk,419000,150000,150000,654000,7739456,7739456,94000,94000,11,1
chanmina,1640000,94000,430000,2758000,11702613,97326263,442,12000,7,1
people_1,363000,210000,210000,474000,2213268,38148647,45,1820,6,0
creephyp,607000,6279,250000,1227000,,74311807,76,1682,24,0
makaroni_enpitsu,567000,26000,350000,2559000,,210014604,811,24000,13,0
equal_love,569000,140000,140000,737000,18850700,18850700,7675,7675,8,0
cutie_street,574000,170000,340000,879000,16868635,54384255,58000,319000,1,0
a_group,568000,65000,110000,,,,2451,2451,5,0
super_beaver,606000,20000,200000,1097000,377785,38358971,161,8431,18,0
travis_japan,601000,,,405000,9155933,13164827,1973,1973,13,0
not_equal_me,233000,43000,43000,117000,1848290,2739062,791,791,5,0
yama,1220000,15000,1420000,2227000,7328843,184595085,204,231000,8,0
yuri,1190000,31000,550000,3535000,1902998,330130974,248,46400,6,0
maisondes,410000,42000,520000,808000,631138,86063268,1462,27100,4,0
zutomayo,3310000,59000,115000,3200000,,93953529,248,8892,6,0
imase,1130000,12000,3440000,3474000,,378907080,216,190000,5,0
hitsuji_bungaku,418000,45000,330000,1597000,5923902,109020487,208,33000,13,0
neguse,203000,110000,130000,1782000,22454914,39080867,43000,43000,5,0
marcy,603000,21000,100000,1110000,3539746,63056926,5085,493000,5,0
tokisen,417000,95000,120000,510000,12985163,15311964,178000,289000,10,0
