groupname,This_year's_Top_MV_goods,This_year's_Top_spotify_streams,kohaku_selected
aina_the_end,410000,89822573,1
ikuta_rira,97000,41300232,1
hana,560000,47207903,1
candy_tune,190000,19896398,1
fruits_zipper,81000,15791895,1
humbert_humbert,27000,2605842,1
and_team,180000,16218800,1
m!lk,150000,7739456,1
chanmina,94000,11702613,1
people_1,210000,2213268,0
creephyp,6279,,0
makaroni_enpitsu,26000,,0
equal_love,140000,18850700,0
cutie_street,170000,16868635,0
a_group,65000,,0
super_beaver,20000,377785,0
travis_japan,,9155933,0
not_equal_me,43000,1848290,0
yama,15000,7328843,0
yuri,31000,1902998,0
maisondes,42000,631138,0
zutomayo,59000,,0
imase,12000,,0
hitsuji_bungaku,45000,5923902,0
neguse,110000,22454914,0
marcy,21000,3539746,0
tokisen,95000,12985163,0
