Prefecture,Population,GDP
東京,13463000,120219929.0
神奈川,8941000,35159372.0
大阪,8453000,43124192.0
愛知,7160000,43083104.0
埼玉,7083000,24665567.0
千葉,6057000,21414302.0
兵庫,5204000,23462649.0
福岡,4989000,20187168.0
北海道,4980000,20889250.0
静岡,3411000,
茨城,2716000,14585606.0
広島,2655000,12476116.0
京都,2441000,11107553.0
宮城,2219000,9614668.0
新潟,2078000,9042891.0
長野,1945000,
岐阜,1846000,8225187.0
栃木,1830000,
群馬,1811000,9762017.0
岡山,1795000,7344951.0
福島,1724000,7864963.0
熊本,1669000,6565053.0
三重,1649000,8490601.0
鹿児島,1513000,6048596.0
沖縄,1437000,4461530.0
滋賀,1360000,7005956.0
奈良,1267000,
山口,1260000,6306247.0
愛媛,1259000,5138119.0
長崎,1237000,4653614.0
青森,1157000,4439055.0
岩手,1134000,4797050.0
石川,1079000,4717260.0
大分,1066000,4900706.0
宮崎,1021000,3766949.0
山形,1001000,4340427.0
富山,974000,4927629.0
香川,899000,
秋田,891000,3629335.0
和歌山,871000,3996073.0
佐賀,777000,3148889.0
山梨,769000,3715030.0
福井,721000,
徳島,678000,
高知,649000,2407441.0
島根,631000,2752746.0
鳥取,525000,1912211.0
